Título,Material,Cód. título,Números de chamada local,Objeto Digital
Commercio e Industria,Periódico,99528,,per886220
"Commercio, industria e lavoura",Periódico,99492,,per886181
Constitucional,Periódico,99532,,per886246
Contituição Politica do Estado de Goyaz,Periódico,101612,,per872938
Coqueiros,Periódico,99555,,per88625
Correio Brusquense,Periódico,99559,,per886262
Correio da Manha,Periódico,99563,,per886270
Correio da Semana,Periódico,97717,PR-SOR 05673,per382400
Correio da Serra,Periódico,99909,,per886289
Correio da tarde,Periódico,97735,PR-SPR 00190[1-3],per384941
Correio da Tarde,Periódico,99924,,per886297
Correio da Tarde,Periódico,99931,,per886300
Correio da Tarde,Periódico,99941,,per886319
Correio de Blumenau,Periódico,99959,,per886327
Correio de Joinville,Periódico,99979,,per886335
Correio de Joinville,Periódico,100337,,per886483
Correio de Lages,Periódico,99986,,per886343
Correio de Mafra,Periódico,99989,,per886351
Correio de Noticias,Periódico,97022,PR-SPR 02763,per325538
Correio de Noticias,Periódico,97724,PR-SOR 03686,per383180
Correio de Papanduva,Periódico,99998,,per886360
Correio de Petropolis,Periódico,96919,PR-SOR 02132,per298921
Correio de Timbo,Periódico,100000,,per886378
Correio do Brasil,Periódico,100019,,per886386
Correio do Estado,Periódico,100120,,per886394
Correio do Norte,Periódico,100164,,per886408
Correio do Norte,Periódico,100169,,per886416
Correio do Norte,Periódico,100211,,per886424
Correio do Norte,Periódico,100216,,per886432
Correio do povo,Periódico,100226,,per886440
Correio do povo,Periódico,100255,,per886459
Correio do Sul,Periódico,100280,,per886467
Correio do Sul,Periódico,100318,,per886475
Correio Luso-Brasileiro,Periódico,96620,PR-SOR 03539,per237566
Correio Mercantil,Periódico,95977,PR-SOR 02461,per756180
Correio Paulistano,Periódico,95866,PR-SPR 00140 [1],per764302
Coruja,Periódico,100364,,per886505
Cosmopolita,Periódico,100402,,per882550
CPC,Periódico,101445,,per886513
Crepusculo,Periódico,101453,,per886521
Critica,Periódico,101656,,per886530
Critico,Periódico,101659,,per886548
Cruzada,Periódico,97433,PR-SOR 03178-03187,per359505
Cruzeiro,Periódico,101662,,per886564
Culto ás Letras,Periódico,96186,PR-SOR 03140,per741329
Cultura,Periódico,101666,,per886580
D. Pedro 2,Periódico,97934,PR-SOR 00567,per701858
D. Pedro I,Periódico,97857,PR-SOR 00509,per702480
Democrata,Periódico,101670,,per886599
Der Kayser,Periódico,101678,,per886610
Diabrete,Periódico,97003,PR-SOR 03203-03219,per224464
Diario da Manhã,Periódico,97644,PR-SOR 03054,per705012
Diario de Manaos,Periódico,97265,PR-SPR 00446[1-5],per716642
Diario de Saude,Periódico,97726,PR-SOR 00518,per702900
Diario do Acre,Periódico,95862,PR-SPR 00689[1-2],per764701
Diario do Commercio,Periódico,96811,PR-SOR 03372[1-7],per248070
Diario do Para,Periódico,97952,PR-SPR 02760,per644781
Diario do Piauhy,Periódico,96045,PR-SPR 02717[1-4],per231371
Diario do Povo,Periódico,95826,PR-SOR 00643[1-2],per765910
Diario Illustrado,Periódico,96748,PR-SOR 03703 [1],per243051
Diario Illustrado,Periódico,97729,PR-SOR 05711,per383236
Diario Official do Estado de Sergipe,Periódico,96691,PR-SOR 02891,per734853
Diario Popular,Periódico,97466,PR-SOR 02892,per711020
Discurso Pronunciado,Periódico,101606,,per872881
Diário de Annuncios,Periódico,97818,PR-SOR 00506,per702706
Diário do Maranhão,Periódico,97559,PR-SPR 00169[1-39],per706698
Diário do Paraná,Periódico,95879,PR-SPR 02341,per761672
Documentos Interessantes,Periódico,97705,"P50,03,05-08",per377856
Echo da Camara dos Deputados,Periódico,97839,PR-SOR 00494,per702625
Echo de Pirassununga,Periódico,96158,PR-SOR 04148,per743070
Echo do Império,Periódico,96784,PR-SOR 04214,per247847
Echo Escolastico,Periódico,95928,PR-SOR 03023,per758639
Echo Liberal,Periódico,97486,PR-SOR 02027,per710539
Echo Popular,Periódico,97182,PR-SOR 03389,per333123
Echos do Povo,Periódico,96530,PR-SOR 05800,per737305
Eletrorural,Periódico,97021,PR-SPR 02762,per322296
Equador,Periódico,95764,PR-SOR 04112,per770396
Esboços Litterarios,Periódico,96874,PR-SOR 04143,per730238
Estado de Sergipe,Periódico,97460,PR-SOR 02899,per711055
Evolução,Periódico,96729,PR-SOR 02901,per734772
Exposição apresentada ao chefe do governo provisório da república dos Estado Unidos do Brazil,Periódico,98824,,per873837
Exposição apresentada ao Dr. Jorge Tibiriça,Periódico,101609,,per873489
Farpas Fenianas,Periódico,96059,PR-SOR 03497,per748641
Fiat Lux,Periódico,97669,PR-SOR 03410,per704059
Folha de Nanuque,Periódico,38776,PR-SPR 01815,per829633
Folha de Sergipe,Periódico,97459,PR-SOR 03680,per711063
Fortaleza,Periódico,96739,PR-SOR 04332 [1],per242420
Franklin-Jornal,Periódico,96061,PR-SOR 02773,per748587
"Gabinete de Leitura, Seroes das Familias Brasileiras",Periódico,97725,PR-SOR 00578,per702919
Gazeta Cearense,Periódico,95769,PR-SPR 02522,per770345
Gazeta da Tarde,Periódico,97702,PR-SOR 03837,per703583
Gazeta das Petas,Periódico,96621,PR-SOR 03696,per737046
Gazeta de Joinville,Periódico,95803,PR-SOR 01042,per767085
Gazeta de Porto Alegre,Periódico,97410,PR-SOR 02248,per712183
Gazeta de Propria,Periódico,96727,PR-SOR 02922,per734799
Gazeta do Banho,Periódico,96593,PR-SOR 03509,per737054
Gazeta do Brasil,Periódico,97896,PR-SOR 00296,per702390
Gazeta do Domingo,Periódico,95930,PR-SOR 02925,per758604
Gazeta do Rio,Periódico,97485,PR-SOR 03452,per710741
Gazeta do Sobral,Periódico,97303,PR-SPR 00626 [1],per714380
Gazeta dos hospitaes,Periódico,97892,PR-SOR 04029,per410616
Gazeta dos Theatros,Periódico,95899,PR-SOR 03180,per758787
Gazeta Litteraria,Periódico,98022,"P01,04,23",per700541
Gazeta Médica Brazileira,Periódico,97270,PR-SOR 03178,per340863
Gazeta Official,Periódico,96934,PR-SOR 02276[1-3],per720836
Gazeta Suburbana,Periódico,97035,PR-SOR 03216,per332585
Gazetinha,Periódico,95860,PR-SOR 03870,per764795
Gazetinha dos Sabbados,Periódico,98030,"P02,01,21",per701300
Gutemberg,Periódico,96625,,per237818
Honra do Brasil Desafrontada de Insultos da Astrea Espadaxina,Periódico,29174,"P01,04,15",per700509
Ideia,Periódico,96476,"P17,01,166",per737356
Il Pensiero Italiano,Periódico,96852,PR-SOR 06596,per295647
Illustracao Brasileira,Periódico,95942,"P27,03,02",per758370
Imprensa Industrial,Periódico,98024,"P01,04,25",per700568
Imprensa Medica,Periódico,97978,PR-SOR 03709,per700240
Instituto Acadêmico,Periódico,97080,PR-SOR 04803,per718556
Iracema,Periódico,96622,PR-SOR 04057,per237620
Jornal D'Annuncios,Periódico,95869,PR-SOR 02227,per764248
Jornal da Camara dos Deputados,Periódico,97821,PR-SOR 00520,per702684
Jornal da Noite,Periódico,97933,"P36,06,47",per576581
Jornal da Sociedade Promotora da Instruccao Publica,Periódico,95682,PR-SOR 04064,per778389
Jornal da Tarde,Periódico,96771,PR-SOR 03453 [1-3],per246875
Jornal das Alagoas,Periódico,97719,PR-SOR 02586,per703249
Jornal de Annuncios,Periódico,97976,PR-SOR 00287,per700215
Jornal do Dia,Periódico,97950,PR-SPR 02753,per581577
Jornal do Povo,Periódico,97458,PR-SOR 03449-03452,per359734
Jornal do Recife,Periódico,97642,PR-SPR 00629,per705110
Jornal dos Debates Politicos e Litterarios,Periódico,97884,PR-SOR 00577,per702439
Jornal para todos,Periódico,96553,PR-SOR 03347 [1],per235164
Jornalzinho,Periódico,96101,PR-SOR 04314 [1],per233080
Judas Corsario,Periódico,96588,PR-SOR 03501 [1],per237523
L'Empire du Bresil,Periódico,97538,PR-SOR 06226,per706990
L'Idea,Periódico,97474,PR-SOR 06650,per710768
L'Independant,Periódico,29166,"P01,04,10",per700452
Labarum,Periódico,96014,PR-SOR 02587,per755729
Legionario,Periódico,95865,PR-SPR 00627 [1],per764400
Leitura do domingo,Periódico,96962,PR-SOR 03801,per306754
Libertador,Periódico,96862,PR-SOR 03173,per731234
Lincoln,Periódico,101645,,per237230
Lirio,Periódico,95674,PR-SOR 04094,per778478
Lucifer,Periódico,96849,PR-SOR 04249,per733482
Luctador,Periódico,97399,PR-SOR 04188,per353078
Luneta,Periódico,95685,PR-SOR 04030,per778346
Luz Brasileira,Periódico,97984,PR-SOR 00307,per700320
Lyra Cearense,Periódico,95753,PR-SOR 04092,per770442
Manchete,Periódico,95859,PR-SPR 02732,per004120
Marmota,Periódico,97948,PR-SOR 00550,per701785
Mascara,Periódico,101635,,per174181
Mensageiro,Periódico,95712,PR-SOR 04346,per777951
Mensageiro,Periódico,101622,,per897060
Mensagem apresentada ao Congresso Constituinte do Ceará,Periódico,101601,,per872830
